"","X","Y","OBJECTID_1","OBJECTID","BLDG_ID","BLDG_NAME","ADDRESS","CITY","ZIPCODE","CSP_SCH_ID","SCH_ID","SCH_NAME","SCH_LABEL","SCH_TYPE","SHARED","COMPLEX","POINT_X","POINT_Y","school_name_2","ORG_CODE","DISTRICT_NAME","SCHOOL","COUNTY","School_Total","PK","K","Gr.1","Gr.2","Gr.3","Gr.4","Gr.5","Gr.6","Gr.7","Gr.8","Gr.9","Gr.10","Gr.11","Gr.12","SPED_Beyond_Grade_12","School Name.x","# Enrolled Grades 09 through 12","# Dropout All Grades","% Dropout All Grades","% Dropout Grade 09","% Dropout Grade 10","% Dropout Grade 11","% Dropout Grade 12","School Name.y","Tests Taken","Reading / Writing","Writing","Math","sch_int","School.Name.x","Subject.x","P.A..","P.A...1","A..","A...1","P..","P...1","NI..","NI...1","W.F..","W.F...1","Student.Included","CPI","Ave..SGP","Included.In.Ave..SGP","School.Name.y","Subject.y","M.E...x","M.E...1.x","E...x","E...1.x","M...x","M...1.x","PM...x","PM...1.x","NM...x","NM...1.x","No..of.Students.Included.x","Avg..Scaled.Score.x","SGP.x","Included.In.SGP.x","Ach..PCTL.x","School.Name","Subject","M.E...y","M.E...1.y","E...y","E...1.y","M...y","M...1.y","PM...y","PM...1.y","NM...y","NM...1.y","No..of.Students.Included.y","Avg..Scaled.Score.y","SGP.y","Included.In.SGP.y","Ach..PCTL.y"
"75",-71.1607606236953,42.352128667809,99,105,136,"Garfield Bldg","95 Beechcroft Street","Brighton",2135,1171,1171,"Lyon, Mary 9-12","Lyon 9-12","K-12"," "," ",747865.437188,2953523.85419,"Lyon Upper 9-12","0035","Boston","00350655","Suffolk",133,0,0,0,0,0,0,0,0,0,0,30,35,29,39,0,"Boston - Lyon Upper 9-12","     124","       7","   5.6","   3.7","   5.9","   8.3","   3.7","Boston - Lyon Upper 9-12","      35","471","","471",350655,"Boston - Lyon Upper 9-12","SCIENCE AND TECH/ENG",2,9,0,0,2,9,17,74,4,17,23,57.6,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",-71.0902905997215,42.3317586666686,34,37,47,"Madison Park Bldg #1","75 Malcolm X Blvd","Roxbury",2120,1210,1210,"Madison Park High","Madison Park HS","HS"," "," ",766949.45791,2946184.2737,"Madison Park High","0035","Boston","00350537","Suffolk",887,0,0,0,0,0,0,0,0,0,0,241,272,195,150,29,"Boston - Madison Park High","     859","      52","   6.1","   2.6","   9.7","   4.0","   7.9","Boston - Madison Park High","      83","428","","435",350537,"Boston - Madison Park High","SCIENCE AND TECH/ENG",17,12,0,0,17,12,86,60,40,28,143,57.7,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",-71.0050450759994,42.3916161794587,117,123,2,"Bradley Bldg
","110 Beachview Road","East Boston",2128,4062,4062,"Bradley Elementary","Bradley","ES"," "," ",789872.444619,2968119.68196,"Manassah E Bradley","0035","Boston","00350215","Suffolk",276,28,42,42,42,43,46,33,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350215,"Boston - Manassah E Bradley","SCIENCE AND TECH/ENG",8,24,1,3,7,21,17,52,8,24,33,62.9,"N/A","N/A","Boston - Manassah E Bradley","MATH","          74",56,"          12",9,"          62",47,"          56",42,"           2",2,"         132",504.1,49.4,"          91",69,"Boston - Manassah E Bradley","ELA","          78",59,"          10",8,"          68",52,"          52",39,"           2",2,"         132",505.3,52.5,"          91",65
"78",-71.1144821853263,42.3072082928641,122,129,123,"Agassiz Building","20 Child St","Jamaica Plain",2130,1053,1053,"Margarita Muniz Academy","Muniz Academy","HS","Shared"," ",760448.702561,2937207.19875,"Margarita Muniz Academy","0035","Boston","00350549","Suffolk",295,0,0,0,0,0,0,0,0,0,0,85,74,74,62,0,"Boston - Margarita Muniz Academy","     298","       7","   2.3","   2.4","   1.4","   4.0","   1.5","Boston - Margarita Muniz Academy","      68","409","","440",350549,"Boston - Margarita Muniz Academy","SCIENCE AND TECH/ENG",17,33,0,0,17,33,22,42,13,25,52,62,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",-71.0403298245595,42.3782899932614,6,6,8,"Umana / Barnes Bldg","312 Border Street","East Boston",2128,4323,4323,"Umana Academy","Umana Academy","K-8"," "," ",780367.000002,2963209.99999,"Mario Umana Academy","0035","Boston","00350656","Suffolk",949,29,60,77,72,63,66,85,192,166,139,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350656,"Boston - Mario Umana Academy","SCIENCE AND TECH/ENG",19,8,2,1,17,7,93,39,125,53,237,43.4,"N/A","N/A","Boston - Mario Umana Academy","MATH","         113",16,"           9",1,"         104",15,"         340",48,"         256",36,"         709",479.3,37.7,"         559",4,"Boston - Mario Umana Academy","ELA","         148",21,"          15",2,"         133",19,"         325",46,"         236",33,"         709",482.6,48.7,"         559",5
"80",-71.0610117719194,42.3083962119361,47,50,63,"Mather Bldg","1 Parish Street","Dorchester",2122,4350,4350,"Mather Elementary","Mather","ES"," "," ",774909.999997,2937710,"Mather","0035","Boston","00350227","Suffolk",574,62,82,77,84,91,94,84,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350227,"Boston - Mather","SCIENCE AND TECH/ENG",8,10,1,1,7,9,36,46,35,44,79,45.3,"N/A","N/A","Boston - Mather","MATH","          81",31,"           7",3,"          74",28,"         130",50,"          51",19,"         262",488.3,46.5,"         155",15,"Boston - Mather","ELA","          87",33,"          10",4,"          77",29,"         124",47,"          51",19,"         262",490.7,49.6,"         156",14
"81",-71.1040894431683,42.2758153098276,62,66,86,"Mattahunt Bldg","100 Hebron Street","Mattapan",2126,4691,4691,"Mattahunt Elementary","Mattahunt (K1-2)","ES"," "," ",763312.999987,2925779.99998,"Mattahunt Elementary School","0035","Boston","00350016","Suffolk",373,87,124,102,60,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",-71.0982906028072,42.3330186671967,80,86,113,"Tobin Bldg","40 Smith Street","Roxbury",2120,4570,4570,"Tobin K-8","Tobin K-8","K-8"," "," ",764784.166036,2946633.15152,"Maurice J Tobin","0035","Boston","00350229","Suffolk",437,13,42,58,58,51,63,40,50,36,26,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350229,"Boston - Maurice J Tobin","SCIENCE AND TECH/ENG",8,11,1,1,7,10,31,44,31,44,70,47.1,"N/A","N/A","Boston - Maurice J Tobin","MATH","          40",17,"           5",2,"          35",15,"         142",60,"          53",23,"         235",484.3,45.9,"         168",9,"Boston - Maurice J Tobin","ELA","          50",21,"           3",1,"          47",20,"         148",63,"          37",16,"         235",487.6,56,"         168",9
"83",-71.0505405858941,42.3313186684526,24,24,35,"Perkins Bldg","50 Burke Street","South Boston",2127,4022,4022,"Perkins Elementary","Perkins","ES"," "," ",777698.3368,2946078.06208,"Michael J Perkins","0035","Boston","00350231","Suffolk",182,6,21,22,37,29,25,42,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350231,"Boston - Michael J Perkins","SCIENCE AND TECH/ENG",9,23,3,8,6,15,22,56,8,21,39,64.7,"N/A","N/A","Boston - Michael J Perkins","MATH","          38",36,"           2",2,"          36",34,"          55",52,"          13",12,"         106",493.5,51.2,"          83",29,"Boston - Michael J Perkins","ELA","          38",36,"           1",1,"          37",35,"          59",56,"           9",8,"         106",491.5,40.1,"          83",15
"84",-71.0904295960035,42.2767606569596,56,60,77,"Mildred Avenue Bldg","5 Mildred Avenue","Mattapan",2126,4671,4671,"Mildred Avenue K-8","Mildred Ave K-8","K-8"," "," ",767008.111766,2926141.9524,"Mildred Avenue K-8","0035","Boston","00350378","Suffolk",622,39,39,45,41,47,116,26,96,93,80,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350378,"Boston - Mildred Avenue K-8","SCIENCE AND TECH/ENG",3,3,0,0,3,3,40,43,51,54,94,45.2,"N/A","N/A","Boston - Mildred Avenue K-8","MATH","          66",20,"           4",1,"          62",19,"         155",47,"         111",33,"         332",484.4,54.1,"         231",9,"Boston - Mildred Avenue K-8","ELA","          65",19,"           4",1,"          61",18,"         131",39,"         140",42,"         336",481.1,49.6,"         234",4
