"","X","Y","OBJECTID_1","OBJECTID","BLDG_ID","BLDG_NAME","ADDRESS","CITY","ZIPCODE","CSP_SCH_ID","SCH_ID","SCH_NAME","SCH_LABEL","SCH_TYPE","SHARED","COMPLEX","POINT_X","POINT_Y","school_name_2","ORG_CODE","DISTRICT_NAME","SCHOOL","COUNTY","School_Total","PK","K","Gr.1","Gr.2","Gr.3","Gr.4","Gr.5","Gr.6","Gr.7","Gr.8","Gr.9","Gr.10","Gr.11","Gr.12","SPED_Beyond_Grade_12"
"103",-71.135330610979,42.2777686556127,90,96,126,"Bates Bldg","426 Beech Street","Roslindale",2131,4081,4081,"Bates Elementary","Bates","ES"," "," ",754855.145099,2926454.13215,"Phineas Bates","0035","Boston","00350278","Suffolk",251,19,37,39,40,34,40,42,0,0,0,0,0,0,0,0
"104",-71.0690502465657,42.3484082933053,15,15,21,"Abraham Lincoln Building","152 Arlington Street","Boston",2116,1450,1450,"Quincy Upper School","Quincy Upper (6-12)","K-12"," "," ",772661.999995,2952280.00001,"Quincy Upper School","0035","Boston","00350565","Suffolk",549,0,0,0,0,0,0,0,143,93,58,62,62,59,59,13
"105",-71.0981202064396,42.3139378832768,75,81,107,"Hernandez Bldg","61 School Street","Roxbury",2119,4053,4053,"Hernandez K-8","Hernandez K-8","K-8"," "," ",764862.999988,2939680,"Rafael Hernandez","0035","Boston","00350691","Suffolk",399,49,49,49,48,44,44,40,38,16,22,0,0,0,0,0
"106",-71.0491940584115,42.2942061770356,50,54,70,"Murphy Bldg","1 Worrell Street","Dorchester",2122,4400,4400,"Murphy K-8","Murphy K-8","K-8"," "," ",778133.906432,2932555.6167,"Richard J Murphy","0035","Boston","00350240","Suffolk",910,39,65,67,88,88,125,132,146,69,91,0,0,0,0,0
"107",-71.0581913442036,42.3231761948746,23,23,33,"Clap Bldg","35 Harvest Street","Dorchester",2125,4531,4531,"Clap Elementary","Clap","ES"," "," ",775644.999998,2943100,"Roger Clap","0035","Boston","00350298","Suffolk",137,15,18,16,20,29,27,12,0,0,0,0,0,0,0,0
"108",-71.0348903110476,42.3655630050993,9,9,12,"Adams Bldg","165 Webster Street","East Boston",2128,4361,4361,"Adams Elementary","Adams","ES"," "," ",781862.000004,2958580.00002,"Samuel Adams","0035","Boston","00350302","Suffolk",258,44,30,41,37,45,43,18,0,0,0,0,0,0,0,0
"109",-71.071331405281,42.326217031375,22,22,31,"Mason Bldg","150 Norfolk Avenue","Roxbury",2119,4121,4121,"Mason Elementary","Mason","ES"," "," ",772085.999995,2944190,"Samuel W Mason","0035","Boston","00350304","Suffolk",241,27,36,38,37,37,37,29,0,0,0,0,0,0,0,0
"110",-71.0806620168016,42.2965601131686,111,117,149,"Greenwood, S Bldg","189 Glenway Street","Dorchester",2121,4130,4130,"Greenwood Sarah K-8","S. Greenwood K-8","K-8"," "," ",769615.999992,2933369.99999,"Sarah Greenwood","0035","Boston","00350308","Suffolk",389,42,44,47,46,48,34,49,31,23,25,0,0,0,0,0
"111",-71.0779705963906,42.3505786709993,17,17,24,"Snowden Hs Bldg","150 Newbury Street","Boston",2116,1200,1200,"Snowden International","Snowden HS","HS"," "," ",770246.740985,2953058.86974,"Snowden International School at Copley","0035","Boston","00350690","Suffolk",489,0,0,0,0,0,0,0,0,0,0,160,123,108,98,0
"112",-71.076791454941,42.2877921545001,57,61,78,"Dorchester Ed. Bldg #1 - Main","9 Peacevale Road","Dorchester",2124,1460,1460,"TechBoston Academy","TechBoston","6/7-12"," "," ",770678.999993,2930179.99999,"TechBoston Academy","0035","Boston","00350657","Suffolk",917,0,0,0,0,0,0,0,113,115,136,127,143,148,134,1
"113",-71.1096006044375,42.3060086607993,76,82,108,"English Hs Bldg","144 Mcbride Street","Jamaica Plain",2130,1080,1080,"English High","English HS","HS"," "," ",761771.152625,2936776.03919,"The English High","0035","Boston","00350535","Suffolk",521,0,0,0,0,0,0,0,0,0,0,165,99,122,135,0
"114",-71.053191537335,42.2865502504078,51,55,71,"Kenny Bldg","19 Oakton Avenue","Dorchester",2122,4390,4390,"Kenny Elementary","Kenny","ES"," "," ",777066.999999,2929759.99999,"Thomas J Kenny","0035","Boston","00350328","Suffolk",296,27,39,37,36,47,56,54,0,0,0,0,0,0,0,0
"115",-71.0504296567631,42.3335737219707,31,34,34,"Gavin Bldg","215 Dorchester Street","South Boston",2127,2450,2450,"UP Academy Boston","UP Academy Boston","MS"," "," ",777724,2946900,"UP Academy Charter School of Boston","0480","UP Academy Charter School of Boston (District)","04800405","Suffolk",517,0,0,0,0,0,0,0,182,169,166,0,0,0,0,0
"116",-71.0707294317282,42.2999261471246,48,52,67,"Marshall Bldg","35 Westville Street","Dorchester",2124,4345,4345,"UP Academy Charter School of Dorchester","UP Academy of Dorchester","K-8"," "," ",772296.999995,2934609.99999,"UP Academy Charter School of Dorchester","3505","UP Academy Charter School of Dorchester (District)","35050405","Suffolk",724,56,61,73,70,74,73,91,91,77,58,0,0,0,0,0
"117",-71.0738590186564,42.3056181290849,46,49,62,"Holland Bldg","85 Olney Street","Dorchester",2121,4250,4250,"UP Academy Holland","UP Holland","ES"," "," ",771439.999994,2936679.99999,"UP Academy Holland","0035","Boston","00350167","Suffolk",771,51,117,110,118,127,122,126,0,0,0,0,0,0,0,0
"118",-71.1743406240052,42.2822686542059,95,101,131,"West Roxbury Ed. Bldg","1205 V.F.W. Parkway","West Roxbury",2132,1253,1253,"Urban Science Academy","Urban Science Academy","HS","Shared","West Roxbury EC",744291.893473,2928051.28111,"Urban Science Academy","0035","Boston","00350579","Suffolk",328,0,0,0,0,0,0,0,0,0,0,74,74,79,96,5
"119",-71.0644305927585,42.3779986765793,13,13,16,"Warren-Prescott Bldg","50 School Street","Charlestown",2129,4283,4283,"Warren/Prescott K-8","Warren/Prescott K-8","K-8"," "," ",773855.716508,2963069.66485,"Warren-Prescott","0035","Boston","00350346","Suffolk",580,58,69,72,65,61,70,62,61,35,27,0,0,0,0,0
"120",-71.1249306072805,42.283638656671,72,78,101,"Irving Bldg","105 Cummins Highway","Roslindale",2131,2140,2140,"Irving Middle","Irving MS","MS"," "," ",757660.211213,2928605.45112,"Washington Irving Middle","0035","Boston","00350445","Suffolk",299,0,0,0,0,0,0,0,111,91,97,0,0,0,0,0
"121",-71.1743406240052,42.2822686542059,30,32,131,"West Roxbury Ed. Bldg","1205 V.F.W. Parkway","West Roxbury",2132,1256,1256,"West Roxbury Academy","W. Roxbury Acad","HS","Shared"," ",744291.893473,2928051.28111,"West Roxbury Academy","0035","Boston","00350658","Suffolk",408,0,0,0,0,0,0,0,0,0,0,82,81,89,154,2
